name,poi
BELDEN TIMOTHY N,0.24748088653006642
BOWEN JR RAYMOND M,0.3254729151545666
HANNON KEVIN P,0.43355797170903837
DELAINEY DAVID W,0.2230574675943179
CAUSEY RICHARD A,0.30807927771607685
HICKERSON GARY J,0.2525325068217062
FREVERT MARK A,0.5667712681844987
CHAN RONNIE,0.16001798369307396
DONAHUE JR JEFFREY M,0.18780672892739694
REYNOLDS LAWRENCE,0.16977755254411997
HORTON STANLEY C,0.11615458960604878
LEWIS RICHARD,0.07356007124158809
SHERRICK JEFFREY B,0.16418462902268433
MEYER JEROME J,0.15175585286922763
DERRICK JR. JAMES V,0.35736101775292245
PIRO JIM,0.09730930702945591
DETMERING TIMOTHY J,0.1284757074313924
KISHKILL JOSEPH G,0.23814894592679733
BAY FRANKLIN R,0.20441159638732898
PRENTICE JAMES,0.1508205930675746
TOTAL,0.5950276282562221
FALLON JAMES B,0.47303844156835173
METTS MARK,0.08265327487830844
WODRASKA JOHN,0.17890336802077608
MORDAUNT KRISTINA M,0.13605938478941684
CARTER REBECCA C,0.12877943691269417
BHATNAGAR SANJAY,0.10172051988395554
WALTERS GARETH W,0.15244786167214439
BIBI PHILIPPE A,0.17443688406911786
SHERRIFF JOHN R,0.35783302204223927
GIBBS DANA R,0.07193514180023906
LINDHOLM TOD A,0.15056841720339287
MCMAHON JEFFREY,0.48485681102783706
