name,poi
BELDEN TIMOTHY N,0.2806526756482484
BOWEN JR RAYMOND M,0.3644739158965227
HANNON KEVIN P,0.3531753577415958
DELAINEY DAVID W,0.24241122984182684
CAUSEY RICHARD A,0.35911630977027076
HICKERSON GARY J,0.19779952704583637
FREVERT MARK A,0.5047522898483613
CHAN RONNIE,0.1863078710842786
DONAHUE JR JEFFREY M,0.1594386541429978
REYNOLDS LAWRENCE,0.1538784490937689
HORTON STANLEY C,0.15925648016668312
LEWIS RICHARD,0.07670199051570614
SHERRICK JEFFREY B,0.17098235431066533
MEYER JEROME J,0.14987865220642455
DERRICK JR. JAMES V,0.18823136232159182
PIRO JIM,0.10384749729030693
DETMERING TIMOTHY J,0.11593111077087175
KISHKILL JOSEPH G,0.25975117346038085
BAY FRANKLIN R,0.17214808801338027
PRENTICE JAMES,0.15633035793127828
TOTAL,0.501520023995975
FALLON JAMES B,0.5288686692483484
METTS MARK,0.07525887422135258
WODRASKA JOHN,0.21918904218842444
MORDAUNT KRISTINA M,0.0980100722353896
CARTER REBECCA C,0.11760584981954167
BHATNAGAR SANJAY,0.11547572024903263
WALTERS GARETH W,0.11210102454592494
BIBI PHILIPPE A,0.19636321807594365
SHERRIFF JOHN R,0.41146874173272086
GIBBS DANA R,0.09780592375649302
LINDHOLM TOD A,0.13755316368860887
MCMAHON JEFFREY,0.49222072073628337
